conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.01307E+18,Sat Jun 30 14:52:02 +0000 2018,0,Sejak ada teknologi VAR nonton Piala Dunia jadi kurang seru karena bisa diulang yang salah jadi bener dan yang bener jadi salah. Pemain pun jadi terkesan hati-hati dan sedikit manja . Bahkan sering terlihat jatuh dengan harapan adanya VAR bisa dapat penalti atau lawan di kartu,1.01307E+18,,,in,,0,0,0,https://x.com/imambukhori_79/status/1013072674979844096,121068007,imambukhori_79
1.01305E+18,Sat Jun 30 13:20:50 +0000 2018,0,Piala dunia ada VAR sedangkan di liga indonesia ada WAR ,1.01305E+18,,,in,Bandung,0,0,0,https://x.com/edueee_/status/1013049725723873286,54150793,edueee_
1.01293E+18,Sat Jun 30 12:11:10 +0000 2018,0,@9111_dans @ZheeOmega @DjanChoek duhh !! pdhal 'VAR' baru x ini lho dipake di Piala dunia !,1.01303E+18,,B4hDeon,in, ,0,0,0,https://x.com/r3nDYwJy/status/1013032193050882048,1882532065,r3nDYwJy
1.01302E+18,Sat Jun 30 11:18:11 +0000 2018,0,Piala dunia 2014 pake GLT dan tahun ini pake VAR. Teknologi memang membantu kita di bidang apapun. Mungkin 2022 nanti asisten wasitnya di ganti (at least dibantu) oleh AI. Perkembangan jaman memang begitu. Di Indonesia teknologi - teknologi tersebut belum dipake ya?,1.01302E+18,,,in,,0,0,0,https://x.com/smarterpam/status/1013018857815007232,252943515,smarterpam
1.00772E+18,Sat Jun 30 10:33:33 +0000 2018,0,Babak grup selesai. Dipergunakannya VAR menuai piala dunia dengan hadiah penalti terbanyak. 20 gol pada menit 90+ . Harry Kane 🇬🇧 masih memimpin topskor.,1.01301E+18,,isqundar,in,,0,2,0,https://x.com/isqundar/status/1013007624336314368,371174391,isqundar
1.01285E+18,Sat Jun 30 00:06:39 +0000 2018,0,Ada VAR di piala dunia 2018 gaasik ah gampang dikasih penalti gaada VAR di piala dunia 2018 wasitnya pea nih ga penalti itu jelas pelanggaran bu*a apa ya! jadi maunya gimana? #WorldCup2018 #PialaDunia2018 #virtualassistant,1.01285E+18,,,in,,0,0,0,https://x.com/sepiamat/status/1012849863648686080,1540024934,sepiamat
1.01251E+18,Fri Jun 29 01:56:00 +0000 2018,1,Terus piala dunia ada kubu yg setuju dengan var sama yg gak setuju ada var. Yang paling sering didenger ada kubu ganti presiden sama lanjut 2 periode seriusan saya gak peduli dengan orang2 ini yg kerjaannya cuma nyari/nambahin musuh doang!,1.01251E+18,,ra_anda,in,,0,1,0,https://x.com/ra_anda/status/1012514993412009985,228720194,ra_anda
1.01248E+18,Thu Jun 28 23:26:05 +0000 2018,0,Penerapan teknologi VAR ini dinilai bantu wasit dalam mengambil keputusan selama PIALA DUNIA 2018 Apakah bisa diterapkan di Indonesia juga ? #SemangatPagiMagetan,1.01248E+18,,,in,"Magetan, Indonesia",0,0,0,https://x.com/rasimagetan/status/1012477266100563968,459209403,rasimagetan
1.0124E+18,Thu Jun 28 18:01:11 +0000 2018,17,Apa perlu aku jadi VAR di Piala Dunia supaya setiap ucapannya didengerin kamu? :(,1.0124E+18,,,in,,2,0,32,https://x.com/dwitasaridwita/status/1012395499163299841,446241646,dwitasaridwita
1.01238E+18,Thu Jun 28 16:40:09 +0000 2018,0,Seharusnya ada lebih banyak drama yang bakal terjadi jika VAR itu tak ada di Piala Dunia kali ini. Dan harapan dari tim kecil yang mencoba mengandalkan keberuntungan pun gak akan kalah dari hal-hal teknis yang sering dipemasalahkan di dalam VAR.,1.01238E+18,,,in,San Kew Jong,0,0,0,https://x.com/pacak_leret/status/1012375108348829696,1.00188E+18,pacak_leret
1.01237E+18,Thu Jun 28 16:36:19 +0000 2018,0,Menurutku VAR menghapus segala moment yang seharusnya menjadi hal yg diingat dari Piala Dunia. Contohnya saja tangan tuhan Maradona dan goal yang dianulir dari Frank Lampard. Hal-hal seperti itu bakal sulit terjadi di Piala Dunia kali ini.,1.01237E+18,,,in,San Kew Jong,0,0,0,https://x.com/pacak_leret/status/1012374141880578048,1.00188E+18,pacak_leret
1.01234E+18,Thu Jun 28 15:37:02 +0000 2018,0,@SuporterFC Piala dunia selanjutnya wasit gak di lapangan lagi wasit hanya duduk manis nonton var.,1.01236E+18,,SuporterFC,in,,0,0,0,https://x.com/ricocandraa71/status/1012359225589170182,3715630754,ricocandraa71
