conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.02E+18,Fri Jul 06 00:07:06 +0000 2018,0,:Piala dunia saiki ra rame : Kowe ng njowo ok jajal ng rusia tep rame,1.02E+18,,,in,"Kota Manado, Sulawesi Utara",0,0,0,https://twitter.com/webemon/status/1015024303287328768,278908505,webemon
1.02E+18,Fri Jul 06 00:43:08 +0000 2018,0,Jepang dan Piala Dunia ini emang gada abisnya ceritanya. Setelah suporter Jepang yang pada bersihin sampah di stadion kmrn pemainnya yang pada rapiin ruang gantinya sendiri serapi2nya gada sampah dan hanya meninggalkan kertas dgn tulisan yang kl diterjemahin terima kasih Rusia .,1.02E+18,,,in,Indonesia,0,0,0,https://twitter.com/onikaka/status/1015033369468366848,22162034,onikaka
1.01E+18,Fri Jul 06 00:58:08 +0000 2018,0,@canggihpw @eppofahmi @rikowanted Nggak lagi di Rusia Cang nonton pildun. Hehehe,1.02E+18,,canggihpw,in,Yogyakarta,0,1,0,https://twitter.com/ZulfakhriAuzar/status/1015037144681758720,69796854,ZulfakhriAuzar
1.02E+18,Fri Jul 06 00:58:52 +0000 2018,0,Kalau ada yang sebelumnya ada yang berharap Brasil bisa ketemu uruguayguay di Semi final piala dunia #WorldCup . Kalian gak sendirian. Seperti kataku beberapa waktu lalu Dukun Rusia itu kejam. Neymar akhirnya mudik juga.,1.02E+18,,,in,Bandung,0,0,1,https://twitter.com/Firmansept20/status/1015037330657120256,436302084,Firmansept20
1.02E+18,Fri Jul 06 01:57:02 +0000 2018,0,Ada ga ya liputan yang khusus membahas proses peliputan pertandingan di Piala Dunia teknologi kameranya dan sebagainya pengen tau banget,1.02E+18,,,in,,0,2,3,https://twitter.com/xrsmndx/status/1015051967549206528,47990430,xrsmndx
1.01E+18,Fri Jul 06 03:17:45 +0000 2018,0,@vinca_lee Eittt tau nya di final rusia vs uruguayguay  gagal paham piala dunia sekarang,1.02E+18,,,in,Surabaya,0,0,0,https://twitter.com/Prof_RizalAK/status/1015072281704390656,344598881,Prof_RizalAK
1.02E+18,Fri Jul 06 04:44:23 +0000 2018,1,andaikan VAR ini sudah berlaku di Piala Dunia 2010 .. pasti Gol Lampard akan bisa bawa England lebih jauh..yaa minimal gak dibantai lah inglen nya,1.02E+18,,DuniaSukan,in,,0,0,0,https://twitter.com/DuniaSukan/status/1015094083650351105,261941476,DuniaSukan
1.02E+18,Fri Jul 06 04:44:55 +0000 2018,0,Untung aja germany gg lolos bahkan gg juara pildun 2018 Bayangin coba germany juara di Rusia WW3 fix lah itu,1.02E+18,,,in,Jakarta,0,0,0,https://twitter.com/cuma_rio_aja/status/1015094215431241728,177971452,cuma_rio_aja
1.01E+18,Fri Jul 06 05:55:53 +0000 2018,0,@Noviana13958542 @BTS_twt Plis deh ya gw ngikutin pildun dari awal pas Rusia kontra Arab saudi-_ pas pertandingan berlangsung emang ga ada lagu yang di puter mba. Iya kali main bola sambil dengerin lagu. Mba ni nih yang ga pernah nonton bola. Perasaan sebelum bertanding para pemain latihan dulu bentar aelahh,1.02E+18,,Noviana13958542,in,"Riau, Indonesia",0,1,0,https://twitter.com/realemaaa/status/1015112076195328001,1.01E+18,realemaaa
1.01E+18,Fri Jul 06 05:59:31 +0000 2018,0,@GunRomli Ke rusia ngapain ntn piala dunia? Liat stadion mo bangun stadion persija apa mo bangun *stadion* baru,1.02E+18,,GunRomli,in,Indonesia,0,0,0,https://twitter.com/khoiazka/status/1015112991723778048,7.68E+17,khoiazka
1.01E+18,Fri Jul 06 06:44:51 +0000 2018,0,@Ndinmuh93 @Gilar_17 @TabloidBOLA Oh saya baru tau kalau piala dunia ada yang main di luar rusia ya ,1.02E+18,,Ndinmuh93,in,,0,1,0,https://twitter.com/AnggaGstna/status/1015124399123456001,2284426064,AnggaGstna
1.02E+18,Fri Jul 06 07:13:54 +0000 2018,0,Apakah takbiran masuk ke dalam konsep pembukaan piala dunia ?,1.02E+18,,,in,,0,0,0,https://twitter.com/alyaxabila/status/1015131710139203589,234247059,alyaxabila
1.02E+18,Fri Jul 06 08:41:12 +0000 2018,0,@CoachJustinL sebagai orang awam saya mau nyank.. ni hasil uang tiket piala dunia itu uang nya buat.. siapa ya buat fifa apa tuan rumah rusia tolong di jawab @CoachJustinL ,1.02E+18,,CoachJustinL,in,Medan - Indonesia,1,0,0,https://twitter.com/AriefRMCF_/status/1015153681543516161,2759294352,AriefRMCF_
1.02E+18,Fri Jul 06 11:01:24 +0000 2018,0,Gw berani bilang rusia bisa melangkah jauh di piala dunia kali ini. Minimal perempat final mungkin bahkan sampe final &amp; juara,1.02E+18,,,in,"Banten, Indonesia",0,0,0,https://twitter.com/seblaktuhenakk/status/1015188962250448896,2181471805,seblaktuhenakk
1.02E+18,Fri Jul 06 11:25:05 +0000 2018,0,@WajahMuslim17 Betul juga. Piala dunia bisa di Rusia karena Pak jokowi. Dan ASEAN GAME bisa di indonesia krn pak jokowi juga ya???? Heehhe... Duina dalam berita,1.02E+18,,,in,GOODminton World,0,0,0,https://twitter.com/G_minton/status/1015194921819443200,271105106,G_minton
1.02E+18,Fri Jul 06 11:31:37 +0000 2018,0,Gak kerasa akhir Piala Dunia 2018 Rusia sudah di depan mata dan mengerucut pada dua nama; Prancis dan Kroasia bertemu di final yang akan berlangsung Minggu malam 15 Juli 2018. Hayooo yang dukung Prancis mana suaranya? Yang Kroasia unjuk tangan dong Teman!,1.02E+18,,,in,,0,1,0,https://twitter.com/ryankharism/status/1015196564220928001,98025285,ryankharism
1.02E+18,Fri Jul 06 12:00:00 +0000 2018,0,Saksikan rangkaian acara @FIFAWorldCup 2018 Rusia Opening Ceremony Kamis 14 Juni 2018 Pkl 21.30 Wita Partai Pembuka Grup A Rusia vs Arab Saudi Live di @TRANSTV_CORP @TRANS7 @TransvisionID,1.02E+18,,,in,"Kota Tangerang, Banten",0,0,0,https://twitter.com/alliumtangerang/status/1015203709108842496,3144328349,alliumtangerang
